Age,Gender,Home_Ownership,Loan_Purpose,Loan_Int_Rate,Payment_History,Previous_Loan,Parental_Income_IDR_Monthly,Loan_Amount_IDR,Working_Student,Course_Credits,Liability,Attendance,Grade_Average,Parent_Job,Residence_Type,Label
22,P,mortgage,education,3,24,No,12570769.56048271,15299298,Bekerja_Optional,18,3,82.96506985401265,3.1495801859847177,Wiraswasta,Urban,Tidak Layak
22,P,mortgage,education,3,48,No,44165513.16666666,19972648,Bekerja_Optional,23,1,80.77660656880924,3.3156471353422234,Wiraswasta,Rural,Layak
23,P,rent,education,3,48,Yes,70480768.58333333,24555434,Bekerja_Optional,22,2,68.61507352703005,2.683267808503792,Wiraswasta,Urban,Layak
23,L,own,venture,3,24,No,16867767.583333332,15100333,Bekerja_Karena_Butuh,19,4,77.6547295534606,2.9504312844767075,Sudah Meninggal,Rural,Tidak Layak
25,L,rent,education,3,36,No,12260890.416666666,10856630,Bekerja_Karena_Butuh,19,3,89.91178205834227,2.3001559050435314,Petani,Rural,Tidak Layak
25,L,rent,education,3,36,Yes,38944130.52410971,15161733,Bekerja_Karena_Butuh,24,2,81.88321260917976,2.375614725404813,Petani,Urban,Layak
21,P,mortgage,medical,3,48,Yes,21943123.58333333,17318780,Bekerja_Karena_Butuh,23,3,63.70335549864091,2.572951550392172,Petani,Urban,Layak
21,P,own,medical,3,24,Yes,12012574.931421336,23344025,Bekerja_Karena_Butuh,20,1,90.0358632850228,3.583272439717366,Petani,Urban,Tidak Layak
24,L,rent,personal,3,48,Yes,24768162.25,20756610,Bekerja_Karena_Butuh,24,2,80.8072156882281,3.439522830449734,Karyawan Swasta,Urban,Layak
24,P,rent,medical,3,36,No,15828614.75,13626819,Bekerja_Karena_Butuh,20,2,83.28758850030921,3.677857479207192,Wiraswasta,Rural,Layak
23,L,rent,personal,3,48,Yes,34093459.49433459,15397971,Bekerja_Optional,20,4,84.93955341472687,2.4315950496450913,Pensiunan,Urban,Tidak Layak
22,L,mortgage,education,3,24,Yes,29675553.916666668,28943491,Bekerja_Karena_Butuh,21,1,67.35067193387322,3.5157536675465115,Petani,Urban,Tidak Layak
22,L,rent,venture,3,48,No,8949942.562338352,14227319,Bekerja_Karena_Butuh,19,3,68.48204170173562,2.319121765004093,Petani,Urban,Tidak Layak
22,L,mortgage,personal,3,48,Yes,45892411.34759783,12669959,Bekerja_Karena_Butuh,19,2,88.97072351005059,3.118609928574277,Wiraswasta,Urban,Layak
25,P,mortgage,medical,3,36,No,71579500.86621682,21150508,Bekerja_Optional,19,4,68.78423232246796,2.634903838545519,Wiraswasta,Urban,Layak
22,P,mortgage,education,3,36,No,31874267.75,22002747,Bekerja_Optional,21,3,63.46548777474059,3.0994780006531384,Wirausaha,Urban,Layak
25,L,mortgage,venture,3,24,No,81867435.0,18112577,Bekerja_Optional,23,2,98.5653204982072,3.0232181860386635,Wiraswasta,Rural,Tidak Layak
23,P,own,personal,3,36,Yes,45224781.753430985,17611872,Bekerja_Optional,21,2,63.957675625568484,2.9397449003094804,PNS,Rural,Layak
22,P,rent,education,3,48,Yes,17671893.09452964,16526490,Bekerja_Karena_Butuh,23,3,55.131533319076155,2.4327571826100813,Wiraswasta,Rural,Tidak Layak
25,L,rent,education,3,36,No,27127757.58333333,21572453,Bekerja_Karena_Butuh,22,1,80.84762800059713,3.2851717188652048,Wiraswasta,Rural,Layak
24,L,mortgage,education,3,60,Yes,41666284.833333336,16796409,Bekerja_Optional,18,1,75.17691874040088,3.569238703982418,Petani,Urban,Layak
24,L,mortgage,education,3,48,No,6380121.048727594,24575800,Bekerja_Karena_Butuh,21,3,80.83831911855098,2.8696341397854397,Petani,Urban,Tidak Layak
23,L,own,medical,3,36,No,54888272.79950853,20637020,Bekerja_Karena_Butuh,23,1,84.24038139954854,2.649411354732268,Petani,Urban,Layak
24,L,own,venture,3,24,No,37694930.632437825,15418520,Bekerja_Karena_Butuh,21,1,81.23919925913088,2.7090273049965865,Sudah Meninggal,Urban,Tidak Layak
24,P,rent,venture,3,24,Yes,30974747.916666668,20902204,Bekerja_Optional,21,3,78.84949507518076,2.841921984374883,Wiraswasta,Urban,Tidak Layak
